file,group,entropy,perplexity,rolling_entropy,sentence_entropy_variance,lexical_density,pattern_regularity,repetition,sentence_evenness,tonal_stability
10549585.txt,Human,7.830813906823189,227.67213303204775,0.0228954918293105,0.6711781681523188,0.4240331491712707,0.0166204986149584,0.5027624309392266,1.0035719805629544,0.9528029188896464
10554045.txt,Human,8.072821879916502,269.25361044868475,0.0236837038250082,0.9708449881741946,0.4282433983926521,0.048331415420023,0.5063145809414467,1.4951954604062063,0.953214468028422
10738095.txt,Human,7.717411658165885,210.4613723647751,0.022941134067514,0.5630053193221302,0.3113026819923372,0.4174664107485604,0.3726053639846743,0.8671515620177924,0.9778421734472362
10748989.txt,Human,7.075109102131776,134.8404093655287,0.0275322369826524,0.9548782614227788,0.3164005805515239,0.5094614264919942,0.3468795355587808,1.5039850166739606,0.971793499061507
10830646.txt,Human,7.7631323991110115,217.2379582991618,0.1250978833440555,1.852950518189541,0.2937181663837012,0.358843537414966,0.3471986417657046,1.6704786807807976,0.9602776027857972
10953078.txt,Human,7.767548697472747,217.9039740015939,0.0500496690398563,0.9636653745895458,0.4062059238363892,0.164073550212164,0.4753173483779971,0.7288974918822676,0.9278374919249742
10969918.txt,Human,7.717307172184368,210.44613042788225,0.0155101880667694,1.4066811639150163,0.4432515337423313,0.0292307692307692,0.5506134969325154,1.104563763544529,0.967656173821858
11289482.txt,Human,8.059388156824777,266.7580793821848,0.0183269948643163,0.7056661245492186,0.3716551040634291,0.0605759682224429,0.4608523290386521,0.729019062841254,0.9871968175522898
11592605.txt,Human,7.893354034405728,237.75865251813568,0.0189845488101936,1.430064809571451,0.4580745341614907,0.0560747663551401,0.546583850931677,0.9692204916012016,0.9876341638642542
11807040.txt,Human,8.410871712840713,340.3491538613337,0.0346217967415716,0.7001335710393427,0.4149443561208267,0.1178343949044586,0.4841017488076312,1.2442437129914776,0.9528158902078316
11887930.txt,Human,7.760249271342909,216.80425654300615,0.0722758975636245,1.4459059434953738,0.3611793611793611,0.2253694581280788,0.4152334152334152,1.0898721808645055,0.9867080590903424
12212468.txt,Human,7.754402229966727,215.927357366032,0.0257899106116815,1.1869688788950608,0.3060869565217391,0.248041775456919,0.3744569939183318,0.7991850345543646,0.9290934132594522
