file,entropy,perplexity,rolling_entropy,sentence_entropy_variance,lexical_density,pattern_regularity,repetition,sentence_evenness,tonal_stability
10138632.txt,7.630211483530476,198.11735891261938,0.024495149625168317,0.41562971590539555,0.4328767123287671,0.042582417582417584,0.5,0.5022837691983986,0.9878571224243383
10186968.txt,7.725686652605384,211.67200304500398,0.03211594534588582,0.3671610896833295,0.5393700787401575,0.04940711462450593,0.6220472440944882,0.5091441457019623,0.9639066847804868
10268614.txt,7.7481486059408144,214.99340661863326,0.017460214121305332,1.873321903142825,0.45875542691751087,0.07111756168359942,0.5209840810419681,1.4203534923751364,0.9852747061992587
10466208.txt,7.554467356081004,187.98416837254598,0.031730246361204945,0.48446125416792574,0.26555555555555554,0.7639198218262806,0.30666666666666664,1.0437612685542046,0.9582003494645178
10480456.txt,8.322223090509695,320.06543881293237,0.049621340004509636,3.168861135437933,0.27866473149492016,0.3467312348668281,0.31204644412191584,4.517481641519074,0.9991191268312951
10549585.txt,7.830813906823189,227.67213303204778,0.02289549182931051,0.6711781681523188,0.4240331491712707,0.01662049861495845,0.5027624309392266,1.0035719805629544,0.9528029188896464
10554045.txt,8.072821879916502,269.25361044868475,0.023683703825008246,0.9708449881741946,0.42824339839265213,0.04833141542002301,0.5063145809414467,1.4951954604062063,0.9532144680284221
10554236.txt,8.435916260695848,346.3090455201049,0.023424012104034258,0.4201682130728033,0.2086981903093987,0.3195093457943925,0.27553998832457677,0.43806921804226634,0.9667218255701021
10562768.txt,7.908191651486363,240.21653519479213,0.030962253603478842,0.8771173980593037,0.41154791154791154,0.17857142857142858,0.4680589680589681,0.8256613137775145,0.9637711938376422
10624813.txt,7.98556389578694,253.45114930398418,0.04824501199516851,0.45478346072577785,0.4143835616438356,0.09382151029748284,0.4954337899543379,0.5114291856233469,0.9607467044281908
10738095.txt,7.717411658165885,210.4613723647751,0.022941134067514055,0.5630053193221302,0.3113026819923372,0.41746641074856045,0.3726053639846743,0.8671515620177924,0.9778421734472362
10748989.txt,7.075109102131776,134.8404093655287,0.027532236982652458,0.9548782614227788,0.3164005805515239,0.5094614264919942,0.3468795355587808,1.5039850166739606,0.971793499061507
10820510.txt,7.000066786843261,128.0059256555069,0.01830718292020667,0.8009824527982679,0.44542772861356933,0.08902077151335312,0.528023598820059,0.7293596075506058,0.98176612235051
10830646.txt,7.7631323991110115,217.2379582991618,0.1250978833440555,1.852950518189541,0.2937181663837012,0.358843537414966,0.3471986417657046,1.6704786807807976,0.9602776027857972
10953078.txt,7.767548697472747,217.9039740015939,0.050049669039856366,0.9636653745895458,0.40620592383638926,0.16407355021216408,0.47531734837799716,0.7288974918822676,0.9278374919249742
10969918.txt,7.717307172184368,210.44613042788222,0.01551018806676941,1.4066811639150165,0.4432515337423313,0.02923076923076923,0.5506134969325154,1.1045637635445287,0.967656173821858
10984392.txt,8.153781888024072,284.7953711965483,0.01434873000575117,0.7693849049829435,0.4500601684717208,0.024125452352231604,0.54632972322503,0.5456594450468232,0.9677009814966846
11232471.txt,6.74106327741825,106.97006240638089,0.025986153929977676,0.4761297403354565,0.4830188679245283,0.03802281368821293,0.5660377358490566,0.5347127392086364,0.9683723895493932
11262933.txt,7.7755946476347155,219.12262556200744,0.020037946809701314,0.4702540620361187,0.3824228028503563,0.14047619047619048,0.44655581947743467,0.827599258053739,0.9064567489645408
11289482.txt,8.059388156824777,266.7580793821848,0.01832699486431637,0.7056661245492186,0.37165510406342916,0.0605759682224429,0.46085232903865214,0.729019062841254,0.9871968175522898
11333001.txt,8.034401256300484,262.1777157725472,0.01660595740458091,0.25808771564248617,0.48855989232839836,0.02699055330634278,0.5773889636608345,0.5726066721621996,0.948504176541401
11522068.txt,6.652219424244834,100.58137872363834,0.006135835933596457,1.6719943155405632,0.5132275132275133,0.0213903743315508,0.6455026455026455,0.6054487394420651,0.9676850448595304
11584809.txt,7.513659612148945,182.7413885145419,0.0311831460716104,0.5175492331091953,0.4405144694533762,0.05806451612903226,0.5,0.7607212084489883,0.9676608062746606
11592605.txt,7.8933540344057285,237.75865251813568,0.01898454881019369,1.430064809571451,0.4580745341614907,0.056074766355140186,0.546583850931677,0.9692204916012016,0.9876341638642542
11704150.txt,7.619089144514151,196.59586185769,0.014873022644210828,0.9315845154598229,0.45454545454545453,0.37865748709122204,0.5197255574614065,2.2235823547354356,0.9781536020353367
11807040.txt,8.410871712840713,340.3491538613337,0.03462179674157162,0.7001335710393427,0.4149443561208267,0.1178343949044586,0.4841017488076312,1.2442437129914776,0.9528158902078315
11887930.txt,7.760249271342909,216.80425654300615,0.07227589756362457,1.4459059434953738,0.36117936117936117,0.22536945812807882,0.4152334152334152,1.0898721808645055,0.9867080590903424
12085736.txt,7.6941312831392015,207.09246943509885,0.018711023436189272,0.35112014880077685,0.3951935914552737,0.058902275769745646,0.45927903871829107,0.5208623470027279,0.9635712289848342
12212468.txt,7.754402229966727,215.927357366032,0.02578991061168155,1.1869688788950608,0.3060869565217391,0.24804177545691905,0.37445699391833187,0.7991850345543646,0.9290934132594522
