file,lexical_density,pattern_regularity,repetition,sentence_evenness,tonal_stability
10176815.txt,0.43884892086330934,0.09956709956709957,0.5050359712230216,0.8277360992739211,0.9663425759982484
10182582.txt,0.4931972789115646,0.11643835616438356,0.5850340136054422,0.6698448978847161,0.9603231874751892
10395944.txt,0.3711967545638945,0.11608961303462322,0.4766734279918864,0.7016012843830474,0.956406064915181
10464113.txt,0.33260393873085337,0.05921052631578947,0.4299781181619256,0.5542868702803309,0.963431375243194
10466583.txt,0.45454545454545453,0.26666666666666666,0.5371900826446281,0.6554666118295088,0.9651259698232828
10553553.txt,0.42671009771986973,0.06699346405228758,0.49022801302931596,1.0568682813377386,0.9848646348558844
10567764.txt,0.26185344827586204,0.6285097192224622,0.30495689655172414,0.8771902648699529,0.9906685298808592
10659182.txt,0.46909667194928684,0.06995230524642289,0.5467511885895404,0.6828202946185259,0.9644166142686998
10751444.txt,0.403954802259887,0.08679245283018867,0.4774011299435028,0.8988321081851565,0.9776408351712002
10840430.txt,0.3833515881708653,0.04061470911086718,0.44468784227820374,0.9466400948984455,0.9434707727814468
10926726.txt,0.40228245363766046,0.03719599427753934,0.47788873038516405,1.1237609658054775,0.9618536652400519
10945968.txt,0.35185185185185186,0.10463576158940398,0.4372523117569353,0.6987439709494605,0.9908446954187613
11121498.txt,0.42857142857142855,0.0448318804483188,0.5006211180124224,1.2750620803021933,0.9865261175488489
11152490.txt,0.3045507584597433,0.08177570093457943,0.38156359393232203,0.7071893196090598,0.9767018612641692
11174187.txt,0.32114467408585057,0.06284805091487669,0.4130262112787927,0.8523269784241713,0.9640155193559101
11188218.txt,0.46055979643765904,0.04336734693877551,0.544529262086514,0.8565880080259048,0.9844305955667797
11336022.txt,0.4567901234567901,0.05955334987593052,0.5753086419753086,0.6711396782215828,0.965736673480888
11393213.txt,0.31610044313146235,0.8148148148148148,0.36336779911373707,0.760520065387647,0.9758625543883648
11441764.txt,0.41482444733420026,0.03911342894393742,0.49154746423927176,0.82366007662688,0.9805849476748691
11480899.txt,0.3309024612579763,0.08949771689497717,0.4056517775752051,1.3282361412061143,0.9879581059742397
11580408.txt,0.3637602179836512,0.15163934426229508,0.4223433242506812,1.9710813324762666,0.9648468002469215
11698189.txt,0.48975409836065575,0.06995884773662552,0.5778688524590164,0.6600083582912302,0.9772191891515092
11722421.txt,0.38003220611916266,0.10339256865912763,0.4524959742351047,0.8652561670504861,0.9450962859920067
11813872.txt,0.3024193548387097,0.09046849757673667,0.36532258064516127,0.7546115430096252,0.9535206671231481
11919526.txt,0.4398092967818832,0.1854066985645933,0.4880668257756563,1.221217208413513,0.9381600045427673
11958994.txt,0.4344919786096257,0.08445040214477212,0.5120320855614974,0.6692408979704455,0.9634940717419896
11995013.txt,0.3885941644562334,0.12632978723404256,0.46286472148541113,2.116445964730027,0.9230391978590642
12021752.txt,0.3728,0.47191011235955055,0.4256,1.1259914410568728,0.9728929225942495
12022566.txt,0.4200848656294201,0.06808510638297872,0.48514851485148514,1.0262460317974569,0.9901749747749039
12059198.txt,0.4597402597402597,0.06788511749347259,0.5558441558441558,0.7199064565083779,0.9463956591798788
12059610.txt,0.3685968819599109,0.23102678571428573,0.43875278396436523,0.5738880777285776,0.9737303635904155
12065211.txt,0.4447334200260078,0.06388526727509779,0.5084525357607282,0.7949188618618526,0.9877657671705208
12071138.txt,0.27953044754218637,0.1462160176340926,0.33162142333088773,0.7529976422226052,0.9800689674107134
12082377.txt,0.335016835016835,0.375,0.4090909090909091,0.6548569404450788,0.9834678042529966
12144825.txt,0.4693069306930693,0.041749502982107355,0.5366336633663367,0.9735693904356408,0.9765098290488976
12155206.txt,0.44768439108061747,0.10327022375215146,0.5145797598627787,0.7384528118742198,0.9746224073404197
12191094.txt,0.4017094017094017,0.07,0.47435897435897434,1.1489761576875452,0.9892054599802319
12587973.txt,0.41237113402061853,0.08862629246676514,0.5066273932253313,1.0312129488625044,0.940747680215541
12613221.txt,0.4053398058252427,0.15853658536585366,0.4733009708737864,0.9949127519762692,0.9926682595687896
12632728.txt,0.0,0,0,0.0,1.0
12674256.txt,0.4380704041720991,0.047058823529411764,0.5384615384615384,1.3889073630570978,0.9942403686352649
12696104.txt,0.41346153846153844,0.3235294117647059,0.5,0.9451080185178129,0.9822992694111403
12717345.txt,0.3948948948948949,0.12349397590361445,0.46096096096096095,0.8839098437777704,0.9749403466150901
12780508.txt,0.3440082644628099,0.061076604554865424,0.4318181818181818,0.7468400407349053,0.9839974666007395
12791244.txt,0.464354527938343,0.07543520309477757,0.5375722543352601,0.9431999500172851,0.9476350495980305
12802330.txt,0.3572311495673671,0.03965303593556382,0.4363411619283066,0.9606249243023058,0.9842180018246123
12920612.txt,0.38814993954050786,0.052121212121212124,0.4655380894800484,0.8046088509219518,0.9524491985277064
